,coconut_id,molecule_name,molecular_formula,Pa,Pi,Pa-Pi
0,CNP0000002,,C27H36N2O15S,955.0,4.0,951.0
1,CNP0000276,,C45H50O18,953.0,4.0,949.0
2,CNP0000434,,C59H111O23P,965.0,3.0,962.0
3,CNP0000435,,C58H107O23P,971.0,3.0,968.0
4,CNP0000436,,C57H105O23P,971.0,3.0,968.0
5,CNP0000437,,C58H109O23P,965.0,3.0,962.0
6,CNP0000438,,C55H103O23P,965.0,3.0,962.0
7,CNP0000439,,C54H101O23P,965.0,3.0,962.0
8,CNP0000440,,C58H105O23P,976.0,2.0,974.0
9,CNP0000441,,C57H101O23P,973.0,2.0,971.0
10,CNP0000442,,C59H107O23P,973.0,2.0,971.0
11,CNP0000443,,C58H105O23P,973.0,2.0,971.0
12,CNP0000444,,C58H107O23P,971.0,3.0,968.0
13,CNP0000445,,C55H99O23P,968.0,3.0,965.0
14,CNP0000446,,C59H109O23P,968.0,3.0,965.0
15,CNP0000447,,C57H105O23P,968.0,3.0,965.0
16,CNP0000448,,C56H99O23P,973.0,2.0,971.0
17,CNP0000449,,C56H101O23P,968.0,3.0,965.0
18,CNP0000450,,C55H99O23P,968.0,3.0,965.0
19,CNP0000451,,C54H97O23P,968.0,3.0,965.0
20,CNP0000452,,C52H95O23P,968.0,3.0,965.0
21,CNP0000453,,C56H103O23P,971.0,3.0,968.0
22,CNP0000454,,C54H97O23P,968.0,3.0,965.0
23,CNP0000455,,C53H95O23P,968.0,3.0,965.0
24,CNP0000456,,C56H103O23P,968.0,3.0,965.0
25,CNP0000672,,C55H103O23P,961.0,3.0,958.0
26,CNP0000673,,C56H105O23P,961.0,3.0,958.0
27,CNP0000674,,C57H107O23P,961.0,3.0,958.0
28,CNP0000675,,C58H109O23P,961.0,3.0,958.0
29,CNP0000676,,C55H101O23P,968.0,3.0,965.0
30,CNP0000677,,C56H103O23P,968.0,3.0,965.0
31,CNP0000678,,C57H105O23P,968.0,3.0,965.0
32,CNP0000679,,C55H103O23P,961.0,3.0,958.0
33,CNP0000689,,C57H107O23P,961.0,3.0,958.0
34,CNP0000701,,C56H103O23P,968.0,3.0,965.0
35,CNP0000702,,C58H107O23P,968.0,3.0,965.0
36,CNP0000703,,C58H105O23P,973.0,2.0,971.0
37,CNP0000704,,C55H103O23P,961.0,3.0,958.0
38,CNP0000705,,C60H113O23P,961.0,3.0,958.0
39,CNP0000706,,C61H115O23P,961.0,3.0,958.0
40,CNP0000707,,C57H105O23P,968.0,3.0,965.0
41,CNP0000708,,C58H107O23P,968.0,3.0,965.0
42,CNP0000709,,C60H113O23P,965.0,3.0,962.0
43,CNP0000716,,C56H103O23P,968.0,3.0,965.0
44,CNP0000717,,C55H101O23P,968.0,3.0,965.0
45,CNP0000718,,C56H105O23P,961.0,3.0,958.0
46,CNP0000719,,C55H103O23P,961.0,3.0,958.0
47,CNP0000720,,C53H99O23P,961.0,3.0,958.0
48,CNP0000721,,C52H97O23P,961.0,3.0,958.0
49,CNP0000722,,C54H99O23P,968.0,3.0,965.0
50,CNP0000723,,C57H107O23P,961.0,3.0,958.0
51,CNP0000724,,C55H103O23P,961.0,3.0,958.0
52,CNP0000725,,C53H99O23P,961.0,3.0,958.0
53,CNP0000726,,C52H97O23P,961.0,3.0,958.0
54,CNP0000727,,C55H103O23P,965.0,3.0,962.0
55,CNP0000728,,C54H99O23P,968.0,3.0,965.0
56,CNP0000729,,C53H97O23P,968.0,3.0,965.0
57,CNP0000730,,C52H95O23P,968.0,3.0,965.0
58,CNP0000731,,C56H105O23P,961.0,3.0,958.0
59,CNP0000732,,C55H103O23P,961.0,3.0,958.0
60,CNP0000733,,C53H99O23P,961.0,3.0,958.0
61,CNP0000734,,C51H95O23P,961.0,3.0,958.0
62,CNP0000735,,C53H95O23P,973.0,2.0,971.0
63,CNP0000736,,C53H97O23P,968.0,3.0,965.0
64,CNP0000737,,C52H95O23P,968.0,3.0,965.0
65,CNP0000738,,C51H93O23P,968.0,3.0,965.0
66,CNP0000739,,C54H101O23P,961.0,3.0,958.0
67,CNP0000740,,C52H97O23P,961.0,3.0,958.0
68,CNP0000741,,C51H95O23P,961.0,3.0,958.0
69,CNP0000742,,C51H95O18P,971.0,3.0,968.0
70,CNP0000743,,C52H99O18P,965.0,3.0,962.0
71,CNP0000744,,C51H97O18P,965.0,3.0,962.0
72,CNP0000745,,C50H95O18P,965.0,3.0,962.0
73,CNP0000746,,C48H91O18P,965.0,3.0,962.0
74,CNP0000747,,C51H89O18P,968.0,3.0,965.0
75,CNP0000748,,C51H91O18P,973.0,2.0,971.0
76,CNP0000749,,C49H87O18P,973.0,2.0,971.0
77,CNP0000750,,C53H97O18P,973.0,2.0,971.0
78,CNP0000751,,C50H91O18P,973.0,2.0,971.0
79,CNP0000752,,C52H97O18P,971.0,3.0,968.0
80,CNP0000753,,C50H91O18P,968.0,3.0,965.0
81,CNP0000754,,C49H89O18P,968.0,3.0,965.0
82,CNP0000755,,C52H97O18P,968.0,3.0,965.0
83,CNP0000756,,C49H91O18P,968.0,3.0,965.0
84,CNP0000757,,C48H89O18P,968.0,3.0,965.0
85,CNP0000758,,C47H87O18P,968.0,3.0,965.0
86,CNP0000759,,C50H91O18P,968.0,3.0,965.0
87,CNP0000760,,C48H87O18P,968.0,3.0,965.0
88,CNP0000761,,C52H97O18P,968.0,3.0,965.0
89,CNP0000762,,C49H91O18P,968.0,3.0,965.0
90,CNP0000763,,C47H87O18P,968.0,3.0,965.0
91,CNP0000764,,C51H95O18P,968.0,3.0,965.0
92,CNP0000765,,C50H93O18P,968.0,3.0,965.0
93,CNP0000766,,C48H89O18P,968.0,3.0,965.0
94,CNP0000767,,C51H95O18P,968.0,3.0,965.0
95,CNP0000768,,C55H105O18P,961.0,3.0,958.0
96,CNP0000769,,C54H103O18P,961.0,3.0,958.0
97,CNP0000770,,C53H101O18P,961.0,3.0,958.0
98,CNP0000771,,C52H99O18P,961.0,3.0,958.0
99,CNP0000772,,C51H97O18P,961.0,3.0,958.0
